Amos,Amo
Chronicles_1,1Ch
Chronicles_2,2Ch
Daniel,Dan
Deuteronomy,Deu
Ecclesiastes,Ecc
Esther,Est
Exodus,Exo
Ezekiel,Eze
Ezra,Ezr
Genesis,Gen
Habakkuk,Hab
Haggai,Hag
Hosea,Hos
Isaiah,Isa
Jeremiah,Jer
Job,Job
Joel,Joe
Johan,Jon
Joshua,Jos
Judges,Jdg
Kings_1,1Ki
Kings_2,2Ki
Lamentations,Lam
Leviticus,Lev
Malachi,Mal
Micah,Mic
Nahum,Nah
Nehemiah,Neh
Numbers,Num
Obadiah,Oba
Proverbs,Pro
Psalms,Psa
Ruth,Rth
Samuel_1,1Sa
Samuel_2,2Sa
Song_of_Solomon,Sng
Zacharias,Zec
Zephariah,Zep
1CO,1Co
1JN,1Jn
1PE,1Pe
1TH,1Th
1TI,1Ti
2CO,2Co
2JN,2Jn
2PE,2Pe
2TH,2Th
2TI,2Ti
3JN,3Jn
ACT,Act
COL,Col
EPH,Eph
GAL,Gal
HEB,Heb
JAS,Jas
JHN,Jhn
JUD,Jde
LUK,Luk
MAT,Mat
MRK,Mar
PHM,Phm
PHP,Phl
REV,Rev
ROM,Rom
TIT,Tit
1CH,1Ch
1KI,1Ki
1SA,1Sa
2CH,2Ch
2KI,2Ki
2SA,2Sa
AMO,Amo
DAG,Dan
DEU,Deu
ECC,Ecc
ESG,Est
EXO,Exo
EZK,Eze
EZR,Ezr
GEN,Gen
HAB,Hab
HAG,Hag
HOS,Hos
ISA,Isa
JDG,Jdg
JER,Jer
JOB,Job
JOL,Joe
JON,Jon
JOS,Jos
LAM,Lam
LEV,Lev
MAL,Mal
MIC,Mic
NAM,Neh
NUM,Num
OBA,Oba
PRO,Pro
PSA,Psa
RUT,Rth
SNG,Sng
ZEC,Zec
ZEP,Zep
Genesis,Gen
Exodus,Exo
Leviticus,Lev
Numbers,Num
Deuteronomy,Deu
Joshua,Jos
Judges,Jdg
Ruth,Rth
1 Samuel,1Sa
2 Samuel,2Sa
1 Kings,1Ki
2 Kings,2Ki
1 Chronicles,1Ch
2 Chronicles,2Ch
Ezra,Ezr
Nehemiah,Neh
Esther,Est
Job,Job
Psalm,Psa
Psalms,Psa
Proverbs,Pro
Ecclesiastes,Ecc
Song,of
Isaiah,Isa
Jeremiah,Jer
Lamentations,Lam
Ezekiel,Eze
Daniel,Dan
Hosea,Hos
Joel,Joe
Amos,Amo
Obadiah,Oba
Jonah,Jon
Micah,Mic
Nahum,Nah
Habakkuk,Hab
Zephaniah,Zep
Haggai,Hag
Zechariah,Zec
Malachi,Mal
Matthew,Mat
Mark,Mar
Luke,Luk
John,Jhn
Acts,Act
Romans,Rom
1 Corinthians,1Co
2 Corinthians,2Co
Galatians,Gal
Ephesians,Eph
Philippians,Phl
Colossians,Col
1 Thessalonians,1Th
2 Thessalonians,2Th
1 Timothy,1Ti
2 Timothy,2Ti
Titus,Tit
Philemon,Phm
Hebrews,Heb
James,Jas
1 Peter,1Pe
2 Peter,2Pe
1 John,1Jo
2 John,2Jo
3 John,3Jo
Jude,Jde
Revelation,Rev
